pair	target	target_score	baseline1	baseline1_score	baseline2	baseline2_score	baseline3	baseline3_score	baseline4	baseline4_score	baseline4_b1	baseline4_b1_score	baseline5	baseline5_score	baseline5_b1	baseline5_b1_score
ent1: Barack Obama ent2: Tea Party movement	the tea party movement would n't exist without barack obama . ''	0	barack obama was the first president of the tea party movement.	0	president barack obama is a prominent supporter of the tea party movement.	0	president barack obama praised the tea party movement during his 2016 campaign.	0	the tea party movement was a major influence on president barack obama.	0	president barack obama praised the tea party movement throughout his 2016 campaign.	0	president barack obama praised the tea party movement throughout his 2016 campaign.	0	president barack obama praised the tea party movement throughout his 2016 campaign.	0
ent1: Włocławek ent2: Second Partition of Poland	after the second partition of poland , włocławek was annexed by prussia .	0	wocawek was a part of the second partition of poland.	0	wocawek was a major center of the second partition of poland.	0	in 1793, wocawek became part of the kingdom of prussia in the second partition of poland.	0	after the second partition of poland in 1793, wocawek became part of kingdom of prussia.	0	in 1793, wocawek was part of kingdom of prussia after the second partition of poland.	0	in 1793, wocawek became part of kingdom of prussia after the second partition of poland.	0	in 1793, wocawek was part of kingdom of prussia after the second partition of poland.	0
ent1: A1 Team Pakistan ent2: A1 Grand Prix	a1 team pakistan is the pakistani team of a1 grand prix , an international racing series .	0	a1 team pakistan is the pakistani team of a1 grand prix, an international racing series.	0	a1 team pakistan is the pakistan team of a1 grand prix, an international racing series.	0	a1 team pakistan is the pakistani team of a1 grand prix, an international racing series.	0	a1 team pakistan is the pakistani team of a1 grand prix, an international racing series.	0	a1 team pakistan is the pakistan team of a1 grand prix, an international racing series.	0	a1 team pakistan is the pakistani team of a1 grand prix, an international racing series.	0	a1 team pakistan is the pakistani team of a1 grand prix, an international racing series.	0
ent1: Monroe County, Georgia ent2: Forsyth, Georgia	forsyth is a city in monroe county , georgia , united state .	0	forsyth is a city in monroe county, georgia, united state.	0	forsyth is a city in monroe county, georgia, united state.	0	forsyth is a city in monroe county, georgia, united state.	0	forsyth is a city in monroe county, georgia, united state.	0	forsyth is a city in monroe county, georgia, united state.	0	forsyth is a city in monroe county, georgia, united state.	0	forsyth is a city in monroe county, georgia, united state.	0
ent1: Columbia River ent2: Ice Harbor Dam	ice harbor dam is part of the columbia river basin system of dam .	0	the ice harbor dam is a dam on the columbia river in southwestern new york city.	0	ice harbor dam is a dam on the columbia river in southeastern columbia, canada.	0	ice harbor dam is part of the columbia river basin system of dam.	0	ice harbor dam is part of the columbia river basin system of dam.	0	ice harbor dam is part of the columbia river basin system of dam.	0	ice harbor dam is part of the columbia river basin system of dam.	0	ice harbor dam is part of the columbia river basin system of dam.	0
ent1: Museum ent2: Archaeological site	the museum is located on two archaeological site .	0	the museum is a museum of archaeology.	0	the museum is located on an archaeological site.	0	archaeological site are located in the museum.	0	the museum is located at the archaeological site.	0	archaeological site are often part of the museum.	0	the museum is located near archaeological site.	0	the museum is located on the shore of an archaeological site.	0
ent1: Powys County Council ent2: Trewern	the trewern ward elects a county councillor to powys county council .	0	trewern is a local government area of powys county council.	0	trewern is a local government district in powys county council, wale.	0	trewern is a village in powys county council, england.	0	trewern is a village in powys county council, wale.	0	trewern has a county councillor on powys county council.	0	trewern is a village and a constituent area of powys county council.	0	trewern is a town and ward of the powys county council.	0
ent1: Coptic Orthodox Church of Alexandria ent2: Monastery of Saint Mina	the monastery of saint mina is a monastery of the coptic orthodox church of alexandria located in the western desert near alexandria .	0	the monastery of saint mina is a member of the coptic orthodox church of alexandria.	0	the coptic orthodox church of alexandria is a christian monastery in the egyptian province of sahara, the former monastery of saint mina.	0	the monastery of saint mina is a member of the coptic orthodox church of alexandria.	0	the monastery of saint mina is a st. john's monastery in the coptic orthodox church of alexandria, egypt.	0	the monastery of saint mina ( ) is a monastery of the coptic orthodox church of alexandria in egypt.	0	the monastery of saint mina is a monastery in egypt, a part of the coptic orthodox church of alexandria.	0	the monastery of saint mina is a monastery in egypt, egypt, and the seat of the coptic orthodox church of alexandria.	0
ent1: Vidin ent2: Jacob Svetoslav	jacob svetoslav again accepted stephen 's suzerainty and was reinstalled in vidin .	0	jacob svetoslav was born in vidin.	0	jacob svetoslav was born in vidin.	0	in 1265, jacob svetoslav returned to vidin.	0	in 1265 jacob svetoslav returned to vidin.	0	in 1265, jacob svetoslav returned to vidin.	0	in 1265, jacob svetoslav returned to vidin.	0	in 1265, jacob svetoslav returned to vidin.	0
ent1: Piscataquis River ent2: Maxfield, Maine	maxfield sits along the piscataquis river .	0	maxfield is located on the piscataquis river.	0	maxfield is located on the bank of the piscataquis river.	0	maxfield is located on the bank of the piscataquis river.	0	maxfield is located on the east branch of the piscataquis river.	0	maxfield is located on the piscataquis river.	0	maxfield is located on the east branch of the piscataquis river.	0	maxfield is located on the piscataquis river.	0
ent1: John Isner ent2: Mardy Fish	john isner / sam querrey defeated mardy fish / andy roddick , w/o	0	john isner defeated mardy fish 6–4, 6–4	0	john isner defeated mardy fish 6–4, 6–3	0	john isner defeated mardy fish 6–4, 6–4	0	john isner defeated mardy fish 6–4, 6–4	0	john isner defeated mardy fish 6–4, 6–4	0	john isner defeated mardy fish 6–4, 6–4	0	john isner defeated mardy fish 6–4, 6–4	0
